0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
1866,A3528321J,Position at end of period ;  PORTFOLIO INVESTMENT,$ Millions,Original,3
1867,A3528490W,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1868,A3528491X,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1869,A3528492A,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1870,A3528493C,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1871,A3528494F,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1872,A3528495J,"Position at end of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1873,A3528496K,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1874,A3528497L,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1875,A3528498R,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1876,A3528499T,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1877,A3528500R,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1878,A3528501T,"Position at end of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1879,A3538637R,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors",$ Millions,Original,3
1880,A3538638T,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors",$ Millions,Original,3
1881,A3538639V,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors",$ Millions,Original,3
1882,A3538640C,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors",$ Millions,Original,3
1883,A3538641F,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors",$ Millions,Original,3
1884,A3538642J,"Position at end of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors",$ Millions,Original,3
1885,A3528262V,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Other financial corporations",$ Millions,Original,3
1886,A3528263W,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Other financial corporations",$ Millions,Original,3
1887,A3528264X,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Other financial corporations",$ Millions,Original,3
1888,A3528265A,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Other financial corporations",$ Millions,Original,3
1889,A3528266C,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Other financial corporations",$ Millions,Original,3
1890,A3528267F,"Position at end of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Other financial corporations",$ Millions,Original,3
1891,A3528760K,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1892,A3528761L,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1893,A3528762R,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1894,A3528763T,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1895,A3528764V,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1896,A3528765W,"Position at end of period ;  PORTFOLIO INVESTMENT, Equity and investment fund shares, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1897,A3528136F,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Debt securities",$ Millions,Original,3
1898,A3528137J,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Debt securities",$ Millions,Original,3
1899,A3528138K,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Debt securities",$ Millions,Original,3
1900,A3528139L,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Debt securities",$ Millions,Original,3
1901,A3528140W,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Debt securities",$ Millions,Original,3
1902,A3528141X,"Position at end of period ;  PORTFOLIO INVESTMENT, Debt securities",$ Millions,Original,3
1903,A3528850R,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Debt securities, Central bank",$ Millions,Original,3
1904,A3528851T,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Debt securities, Central bank",$ Millions,Original,3
1905,A3528852V,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Debt securities, Central bank",$ Millions,Original,3
1906,A3528853W,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Debt securities, Central bank",$ Millions,Original,3
1907,A3528854X,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Debt securities, Central bank",$ Millions,Original,3
1908,A3528855A,"Position at end of period ;  PORTFOLIO INVESTMENT, Debt securities, Central bank",$ Millions,Original,3
1909,A3528778J,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Short-term",$ Millions,Original,3
1910,A3528779K,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Short-term",$ Millions,Original,3
1911,A3528780V,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Short-term",$ Millions,Original,3
1912,A3528781W,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Short-term",$ Millions,Original,3
1913,A3528782X,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Short-term",$ Millions,Original,3
1914,A3528783A,"Position at end of period ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Short-term",$ Millions,Original,3
1915,A3528268J,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Long-term",$ Millions,Original,3
1916,A3528269K,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Long-term",$ Millions,Original,3
1917,A3528270V,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Long-term",$ Millions,Original,3
1918,A3528271W,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Long-term",$ Millions,Original,3
1919,A3528272X,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Long-term",$ Millions,Original,3
1920,A3528273A,"Position at end of period ;  PORTFOLIO INVESTMENT, Debt securities, Central bank, Long-term",$ Millions,Original,3
1921,A3528874J,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1922,A3528875K,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1923,A3528876L,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1924,A3528877R,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1925,A3528878T,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1926,A3528879V,"Position at end of period ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank",$ Millions,Original,3
1927,A3528172R,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Short-term",$ Millions,Original,3
1928,A3528173T,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Short-term",$ Millions,Original,3
1929,A3528174V,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Short-term",$ Millions,Original,3
1930,A3528175W,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Short-term",$ Millions,Original,3
1931,A3528176X,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Short-term",$ Millions,Original,3
1932,A3528177A,"Position at end of period ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Short-term",$ Millions,Original,3
1933,A3528676V,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Long-term",$ Millions,Original,3
1934,A3528677W,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Long-term",$ Millions,Original,3
1935,A3528678X,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Long-term",$ Millions,Original,3
1936,A3528679A,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Long-term",$ Millions,Original,3
1937,A3528680K,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Long-term",$ Millions,Original,3
1938,A3528681L,"Position at end of period ;  PORTFOLIO INVESTMENT, Debt securities, Deposit-taking corporations, except the central bank, Long-term",$ Millions,Original,3
1939,A3528166V,"Position at beginning of period ;  PORTFOLIO INVESTMENT, Debt securities, General government",$ Millions,Original,3
1940,A3528167W,"Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT, Debt securities, General government",$ Millions,Original,3
1941,A3528168X,"Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT, Debt securities, General government",$ Millions,Original,3
1942,A3528169A,"Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT, Debt securities, General government",$ Millions,Original,3
1943,A3528170K,"Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT, Debt securities, General government",$ Millions,Original,3
